round,part,recording,neighbor,X,Y,reference,guess
0,initialGuess,0,1,5.000000,2.500000,1.913543,1.438500
0,initialGuess,0,2,5.000000,2.500000,3.535534,4.845500
0,initialGuess,0,3,5.000000,2.500000,4.619702,2.318500
0,initialGuess,0,4,5.000000,2.500000,5.000000,9.358300
0,initialGuess,0,5,5.000000,2.500000,4.619702,8.014600
0,initialGuess,0,6,5.000000,2.500000,3.535534,8.724000
0,initialGuess,0,7,5.000000,2.500000,1.913543,6.230400
0,initialGuess,0,8,5.000000,2.500000,9.000000,3.355600
0,initialGuess,0,9,5.000000,2.500000,10.792852,13.057100
0,initialGuess,0,10,5.000000,2.500000,11.768602,8.278300
0,initialGuess,0,11,5.000000,2.500000,11.582990,11.652600
0,initialGuess,0,12,5.000000,2.500000,10.295630,11.765100
0,initialGuess,0,13,5.000000,2.500000,8.397479,5.611800
0,initialGuess,0,14,5.000000,2.500000,6.964194,5.807100
0,initialGuess,0,15,5.000000,2.500000,7.268951,2.834900
0,initialGuess,0,16,5.000000,2.500000,9.000000,4.751500
0,initialGuess,0,17,5.000000,2.500000,8.454919,3.888600
0,initialGuess,0,18,5.000000,2.500000,6.964194,5.732200
0,initialGuess,0,19,5.000000,2.500000,5.051500,7.952900
0,initialGuess,0,20,5.000000,2.500000,4.000000,5.965700
0,initialGuess,0,21,5.000000,2.500000,5.051500,5.167300
0,initialGuess,0,22,5.000000,2.500000,6.964194,5.539600
0,initialGuess,0,23,5.000000,2.500000,8.454919,7.436000
0,initialGuess,0,24,5.000000,2.500000,12.727922,4.208600
0,initialGuess,0,25,5.000000,2.500000,13.576069,5.088400
0,initialGuess,0,26,5.000000,2.500000,13.209845,13.265700
0,initialGuess,0,27,5.000000,2.500000,11.761873,5.927600
0,initialGuess,0,28,5.000000,2.500000,9.848858,8.174300
0,initialGuess,0,29,5.000000,2.500000,8.642549,8.669000
0,initialGuess,0,30,5.000000,2.500000,9.192388,5.500700
0,initialGuess,0,31,5.000000,2.500000,10.984610,12.398900
0,initialGuess,0,34,5.000000,2.500000,15.700318,6.024300
0,initialGuess,0,35,5.000000,2.500000,13.845348,11.666000
0,initialGuess,0,36,5.000000,2.500000,13.000000,13.664500
0,initialGuess,0,37,5.000000,2.500000,13.845348,6.730300
0,initialGuess,0,38,5.000000,2.500000,15.700318,14.545900
0,initialGuess,0,44,5.000000,2.500000,15.811388,13.587600
0,initialGuess,0,45,5.000000,2.500000,15.519976,6.149100
0,initialGuess,1,0,4.268000,4.268000,1.913543,4.849200
0,initialGuess,1,2,4.268000,4.268000,1.913543,4.154400
0,initialGuess,1,3,4.268000,4.268000,3.536000,5.305000
0,initialGuess,1,4,4.268000,4.268000,4.619702,5.181900
0,initialGuess,1,5,4.268000,4.268000,5.000659,12.577100
0,initialGuess,1,6,4.268000,4.268000,4.619702,3.363600
0,initialGuess,1,7,4.268000,4.268000,3.536000,3.929500
0,initialGuess,1,8,4.268000,4.268000,7.268951,13.294100
0,initialGuess,1,9,4.268000,4.268000,9.000000,8.510900
0,initialGuess,1,10,4.268000,4.268000,9.891292,10.454400
0,initialGuess,1,11,4.268000,4.268000,9.669710,9.301400
0,initialGuess,1,12,4.268000,4.268000,8.397479,4.759100
0,initialGuess,1,13,4.268000,4.268000,6.508348,3.574000
0,initialGuess,1,14,4.268000,4.268000,5.051500,6.317100
0,initialGuess,1,15,4.268000,4.268000,5.464000,13.652600
0,initialGuess,1,16,4.268000,4.268000,9.891292,11.138200
0,initialGuess,1,17,4.268000,4.268000,9.000000,7.606100
0,initialGuess,1,18,4.268000,4.268000,7.268951,7.509000
0,initialGuess,1,19,4.268000,4.268000,5.464000,13.430100
0,initialGuess,1,20,4.268000,4.268000,5.051500,5.935900
0,initialGuess,1,21,4.268000,4.268000,6.508348,5.292100
0,initialGuess,1,22,4.268000,4.268000,8.397479,3.934700
